Version,CommitId,Fichier,ContientBogue,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,CommitsChanged,CommitsBeforeVersion
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapJoinOperator.java,False,9,1,8,0,1,,,,1.0,0.0,1.0,7,7.0,5.0,7,0.0,0.0,3.0,4,,120,20,75,40.0,33,26,,42,54.0,33.0,25,3,,1,,0.0,35,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapJoinTableContainer.java,False,4,0,4,0,1,,,,1.0,1.0,2.0,4,3.0,1.0,4,0.0,0.0,3.0,1,,51,8,25,14.0,9,18,,14,19.0,13.0,7,1,,0,,0.0,72,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractMapOperator.java,False,7,0,6,1,2,,,,2.0,0.0,1.0,14,16.0,7.0,16,0.0,1.0,2.0,13,,178,30,99,50.0,42,49,,54,74.0,44.0,38,6,,2,,0.0,49,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractOperatorDesc.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,12,12.0,5.0,12,0.0,0.0,0.0,12,,92,18,57,32.0,14,17,,21,34.0,22.0,12,1,,0,,0.0,30,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractOutputFormat.java,False,12,1,11,0,2,,,,1.0,0.0,0.0,4,4.0,0.0,4,3.0,0.0,0.0,1,,50,8,17,8.0,8,25,,11,14.0,8.0,7,2,,1,,1.0,47,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractParquetMapInspector.java,False,10,1,9,0,3,,,,1.0,0.0,0.0,13,13.0,2.0,13,0.0,0.0,0.0,13,,173,26,134,48.0,68,13,,57,90.0,37.0,58,10,,2,,0.0,10,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveJavaObjectInspector.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,5,5.0,0.0,5,0.0,0.0,2.0,3,,49,6,23,12.0,5,20,,7,13.0,8.0,5,1,,0,,0.0,87,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveLazyObjectInspector.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,2.0,2,,48,6,22,13.0,4,20,,9,14.0,10.0,4,2,,0,,0.0,91,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveObjectInspector.java,False,7,0,4,3,1,,,,1.0,0.0,0.0,10,10.0,1.0,10,0.0,0.0,2.0,8,,107,13,46,25.0,10,48,,15,26.0,16.0,10,1,,0,,1.0,4,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractPrimitiveWritableObjectInspector.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,2.0,2,,46,6,20,11.0,4,20,,6,11.0,7.0,4,1,,0,,1.0,0,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractRecordWriter.java,False,13,0,12,1,3,,,,1.0,1.0,1.0,18,17.0,12.0,18,1.0,5.0,6.0,6,,273,31,200,82.0,101,43,,110,142.0,77.0,77,8,,2,,0.0,21,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractRowContainer.java,False,0,0,0,0,0,,,,2.0,0.0,0.0,8,8.0,0.0,8,0.0,0.0,0.0,8,,59,10,14,12.0,0,35,,10,12.0,12.0,0,0,,0,,2.0,50,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSMBJoinProc.java,False,41,4,27,10,4,,,,1.0,0.0,0.0,12,12.0,0.0,12,0.0,2.0,7.0,3,,537,61,335,134.0,201,141,,175,227.0,109.0,163,12,,3,,0.0,42,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSSHCommand.java,False,3,0,3,0,1,,,,1.0,0.0,0.0,11,11.0,7.0,11,0.0,0.0,0.0,11,,70,4,48,22.0,15,18,,23,35.0,21.0,14,1,,0,,0.0,38,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSSHResult.java,False,5,0,5,0,1,,,,1.0,0.0,0.0,7,7.0,6.0,7,0.0,0.0,0.0,7,,62,2,42,22.0,12,18,,19,27.0,15.0,12,1,,0,,0.0,43,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSemanticAnalyzerHook.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,2,2.0,0.0,2,0.0,0.0,0.0,2,,37,6,14,10.0,1,17,,5,8.0,7.0,1,1,,0,,1.0,21,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSerDe.java,False,11,0,4,8,1,,,,1.0,0.0,0.0,9,9.0,1.0,9,0.0,0.0,0.0,9,,127,15,30,22.0,4,83,,17,21.0,18.0,3,2,,0,,2.0,77,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractSerializer.java,False,0,0,0,0,0,,,,1.0,0.0,0.0,4,4.0,0.0,4,0.0,0.0,0.0,4,,65,8,12,11.0,0,45,,9,10.0,10.0,0,0,,0,,3.0,75,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractService.java,False,9,0,5,4,1,,,,1.0,0.0,1.0,12,12.0,5.0,12,0.0,2.0,0.0,10,,184,22,76,35.0,29,86,,34,50.0,26.0,26,2,,1,,1.0,13,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractStorageFormatDescriptor.java,False,4,0,4,0,1,,,,1.0,0.0,0.0,1,1.0,0.0,1,0.0,0.0,0.0,1,,28,4,7,4.0,1,17,,2,4.0,3.0,1,1,,0,,2.0,43,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestAuthorizationApiAuthorizer.java,False,9,0,8,1,1,,,,11.0,1.0,3.0,21,20.0,0.0,21,0.0,1.0,1.0,19,,211,23,153,63.0,76,36,,69,95.0,54.0,52,4,,2,,0.0,24,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestGenericUDFOPNumeric.java,False,12,1,9,2,1,,,,1.0,0.0,0.0,2,2.0,0.0,2,0.0,0.0,1.0,1,,56,6,30,22.0,11,20,,19,22.0,19.0,8,1,,0,,0.0,67,1,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractTestParquetDirect.java,False,7,0,6,0,1,,,,3.0,7.0,2.0,14,7.0,5.0,14,0.0,1.0,0.0,13,,173,27,128,75.0,50,19,,76,95.0,65.0,42,3,,2,,0.0,15,1,0
