BugId,Fichier,Version
HIVE-14007,TestNewIntegerEncoding.java,2.2.0
HIVE-14007,TestOrcNullOptimization.java,2.2.0
HIVE-14007,TestOrcTimezone1.java,2.2.0
HIVE-14007,TestOrcTimezone2.java,2.2.0
HIVE-14007,TestOrcTimezone3.java,2.2.0
HIVE-14007,TestStringDictionary.java,2.2.0
HIVE-14007,TestTypeDescription.java,2.2.0
HIVE-14007,TestUnrolledBitPack.java,2.2.0
HIVE-14007,TestVectorOrcFile.java,2.2.0
HIVE-14007,TestBitFieldReader.java,2.2.0
HIVE-14007,TestBitPack.java,2.2.0
HIVE-14007,TestColumnStatisticsImpl.java,2.2.0
HIVE-14007,TestDataReaderProperties.java,2.2.0
HIVE-14007,TestDynamicArray.java,2.2.0
HIVE-14007,TestInStream.java,2.2.0
HIVE-14007,TestIntegerCompressionReader.java,2.2.0
HIVE-14007,TestMemoryManager.java,2.2.0
HIVE-14007,TestOrcWideTable.java,2.2.0
HIVE-14007,TestOutStream.java,2.2.0
HIVE-14007,TestRLEv2.java,2.2.0
HIVE-14007,TestReaderImpl.java,2.2.0
HIVE-14007,TestRecordReaderImpl.java,2.2.0
HIVE-14007,TestRunLengthByteReader.java,2.2.0
HIVE-14007,TestRunLengthIntegerReader.java,2.2.0
HIVE-14007,TestSchemaEvolution.java,2.2.0
HIVE-14007,TestSerializationUtils.java,2.2.0
HIVE-14007,TestStreamName.java,2.2.0
HIVE-14007,TestStringRedBlackTree.java,2.2.0
HIVE-14007,TestZlib.java,2.2.0
HIVE-14007,TestFileDump.java,2.2.0
HIVE-14007,TestJsonFileDump.java,2.2.0
HIVE-14007,OrcFile.java,2.2.0
HIVE-14007,OrcInputFormat.java,2.2.0
HIVE-14007,OrcRecordUpdater.java,2.2.0
HIVE-14007,WriterImpl.java,2.2.0
HIVE-14007,EncodedTreeReaderFactory.java,2.2.0
HIVE-14007,SetProcessor.java,2.2.0
HIVE-14007,TestInputOutputFormat.java,2.2.0
HIVE-14007,TestOrcFile.java,2.2.0
HIVE-14007,TestVectorizedOrcAcidRowBatchReader.java,2.2.0
HIVE-14007,SearchArgumentImpl.java,2.2.0
HIVE-15746,GenericUDFStringToMap.java,2.1.1
HIVE-15778,HiveMetaStore.java,2.1.1
HIVE-14634,HiveEndPoint.java,1.3.0
HIVE-14634,HiveEndPoint.java,2.1.1
HIVE-14634,TestStreaming.java,1.3.0
HIVE-14634,TestStreaming.java,2.1.1
HIVE-14634,TxnHandler.java,1.3.0
HIVE-14634,TxnHandler.java,2.1.1
HIVE-15679,HiveMetaStore.java,2.1.1
HIVE-15679,HiveMetaStore.java,2.2.0
HIVE-14707,GenTezUtils.java,2.2.0
HIVE-14707,GenTezWork.java,2.2.0
HIVE-14707,TestTxnCommands.java,2.2.0
HIVE-14707,TestGenTezWork.java,2.2.0
HIVE-15576,QTestUtil.java,2.2.0
HIVE-15654,TezJobMonitor.java,2.2.0
HIVE-15654,TezJobMonitor.java,2.2.0
HIVE-15563,SQLOperation.java,2.2.0
HIVE-15494,SparkTask.java,2.2.0
HIVE-15476,MetaStoreDirectSql.java,2.2.0
HIVE-15476,ObjectStore.java,2.2.0
HIVE-15421,DagUtils.java,2.2.0
