Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"AbstractSerializer.java",AbstractSerializer.java,0,0,0,0,0,,,,,1,0,0,0,,,,4,4,0,,,,4,,,0,,0,0,4,,65,8,12,11,0,45,,,,9,10,10,,0,,0,,0,,,3,75,0
File,"AbstractService.java",AbstractService.java,9,0,5,4,1,,,,,1,0,1,12,,,,12,12,5,,,,12,,,0,,2,0,10,,184,22,76,35,29,86,,,,34,50,26,,26,,2,,1,,,1,13,14
File,"AbstractStorageFormatDescriptor.java",AbstractStorageFormatDescriptor.java,4,0,4,0,1,,,,,1,0,0,1,,,,1,1,0,,,,1,,,0,,0,0,1,,28,4,7,4,1,17,,,,2,4,3,,1,,1,,0,,,2,43,1
File,"AbstractTestAuthorizationApiAuthorizer.java",AbstractTestAuthorizationApiAuthorizer.java,9,0,8,1,1,,,,,11,1,3,20,,,,21,20,0,,,,21,,,0,,1,1,19,,211,23,153,63,76,36,,,,69,95,54,,52,,4,,2,,,0,24,24
File,"AbstractTestGenericUDFOPNumeric.java",AbstractTestGenericUDFOPNumeric.java,12,1,9,2,1,,,,,1,0,0,2,,,,2,2,0,,,,2,,,0,,0,1,1,,56,6,30,22,11,20,,,,19,22,19,,8,,1,,0,,,0,67,2
File,"AbstractTestParquetDirect.java",AbstractTestParquetDirect.java,7,0,6,0,1,,,,,3,7,2,13,,,,14,7,5,,,,14,,,0,,1,0,13,,173,27,128,75,50,19,,,,76,95,65,,42,,3,,2,,,0,15,16
File,"AbstractTestPhase.java",AbstractTestPhase.java,10,0,9,0,1,,,,,1,3,12,6,,,,6,3,17,,,,6,,,2,,1,2,1,,139,12,108,60,55,19,,,,81,89,59,,33,,2,,1,,,0,18,7
File,"AbstractVectorDesc.java",AbstractVectorDesc.java,4,0,4,0,1,,,,,1,0,0,1,,,,1,1,0,,,,1,,,0,,0,0,1,,27,3,7,4,1,17,,,,2,4,3,,1,,1,,0,,,2,43,1
File,"AccumuloCompositeRowId.java",AccumuloCompositeRowId.java,13,3,7,3,1,,,,,1,0,0,3,,,,3,3,0,,,,3,,,0,,0,0,3,,95,15,32,20,12,48,,,,23,28,20,,13,,2,,1,,,1,50,4
File,"AccumuloConnectionParameters.java",AccumuloConnectionParameters.java,9,1,7,2,2,,,,,1,0,9,17,,,,17,17,2,,,,17,,,3,,0,0,14,,230,39,142,56,78,49,,,,75,105,56,,61,,4,,2,,,0,35,29
File,"AccumuloHiveConstants.java",AccumuloHiveConstants.java,0,0,0,0,0,,,,,1,0,11,0,,,,0,0,0,,,,0,,,0,,0,0,0,,42,7,14,13,10,21,,,,9,10,10,,5,,0,,0,,,1,50,0
File,"AccumuloHiveRow.java",AccumuloHiveRow.java,8,0,8,0,2,,,,,2,0,0,21,,,,21,21,5,,,,21,,,0,,0,0,21,,247,36,185,63,97,26,,,,93,143,62,,93,,10,,3,,,0,14,44
File,"AccumuloPredicateHandler.java",AccumuloPredicateHandler.java,19,2,13,5,3,,,,,1,1,6,16,,,,16,15,0,,,,16,,,0,,2,1,13,,426,50,277,128,161,99,,,,168,213,118,,132,,7,,2,,,0,36,46
File,"AccumuloQTestUtil.java",AccumuloQTestUtil.java,6,1,5,1,1,,,,,1,0,0,2,,,,2,2,0,,,,2,,,0,,0,0,2,,38,4,13,7,3,21,,,,5,8,5,,3,,1,,0,,,1,62,2
File,"AccumuloRangeGenerator.java",AccumuloRangeGenerator.java,29,3,22,6,6,,,,,1,0,1,9,,,,9,9,3,,,,9,,,0,,0,7,2,,338,36,237,75,140,75,,,,119,179,75,,113,,14,,6,,,0,32,54
File,"AccumuloRowIdFactory.java",AccumuloRowIdFactory.java,0,0,0,0,0,,,,,1,0,0,0,,,,5,5,0,,,,5,,,0,,0,0,5,,67,8,19,18,0,40,,,,15,16,16,,0,,0,,0,,,2,11,0
File,"AccumuloRowSerializer.java",AccumuloRowSerializer.java,28,3,19,6,4,,,,,1,0,1,11,,,,11,11,6,,,,11,,,0,,0,9,2,,381,45,247,92,152,89,,,,141,180,85,,120,,15,,4,,,0,36,39
File,"AccumuloSerDe.java",AccumuloSerDe.java,8,1,7,0,1,,,,,1,0,1,11,,,,11,11,4,,,,11,,,0,,0,2,9,,157,26,108,53,48,23,,,,58,75,49,,35,,3,,2,,,0,21,16
File,"AccumuloSerDeParameters.java",AccumuloSerDeParameters.java,9,1,6,1,2,,,,,1,2,10,23,,,,23,21,5,,,,23,,,0,,0,3,20,,292,54,185,82,93,53,,,,102,141,79,,81,,4,,2,,,0,29,38
File,"AccumuloStorageHandler.java",AccumuloStorageHandler.java,15,1,12,1,3,,,,,1,0,2,21,,,,21,21,4,,,,21,,,0,,0,3,18,,408,54,305,125,154,49,,,,142,196,100,,121,,9,,4,,,0,16,57
File,"AccumuloTestSetup.java",AccumuloTestSetup.java,19,2,16,0,2,,,,,1,0,2,4,,,,4,4,1,,,,4,,,0,,0,3,1,,127,18,89,47,52,20,,,,68,78,46,,38,,3,,2,,,0,22,8
File,"AcidCompactionHistoryService.java",AcidCompactionHistoryService.java,5,0,5,0,1,,,,,2,0,1,6,,,,6,6,2,,,,6,,,0,,1,3,2,,83,7,56,35,14,20,,,,31,40,30,,13,,2,,1,,,0,36,7
File,"AcidHouseKeeperService.java",AcidHouseKeeperService.java,5,0,5,0,1,,,,,2,0,1,6,,,,6,6,2,,,,6,,,0,,1,3,2,,74,6,47,26,14,21,,,,22,31,21,,13,,2,,1,,,0,45,7
File,"AcidInputFormat.java",AcidInputFormat.java,6,0,5,1,1,,,,,6,0,0,11,,,,17,17,5,,,,17,,,6,,0,0,11,,242,16,101,57,25,125,,,,51,72,47,,26,,2,,1,,,1,24,14
File,"AcidOutputFormat.java",AcidOutputFormat.java,6,0,4,3,1,,,,,2,0,0,31,,,,33,33,15,,,,33,,,2,,0,0,31,,305,33,153,64,58,120,,,,76,112,61,,51,,3,,1,,,0,78,34
File,"AcidTable.java",AcidTable.java,6,0,4,2,1,,,,,1,0,1,13,,,,13,13,6,,,,13,,,3,,0,0,10,,129,20,64,26,23,45,,,,29,45,25,,20,,3,,1,,,0,70,17
File,"AcidTableSerializer.java",AcidTableSerializer.java,34,3,30,1,4,,,,,1,2,2,2,,,,2,0,0,,,,2,,,0,,0,0,2,,117,13,80,35,51,24,,,,56,66,35,,42,,4,,3,,,0,30,8
File,"AcidUtils.java",AcidUtils.java,12,0,10,2,2,,,,,12,24,20,46,,,,48,26,11,,,,50,,,7,,4,0,39,,719,57,494,169,289,169,,,,211,326,161,,212,,14,,3,,,0,34,102
File,"AddDynamicPartitions.java",AddDynamicPartitions.java,10,0,9,1,3,,,,,6,3,9,56,,,,54,53,11,,,,56,,,1,,2,0,53,,739,97,613,148,363,41,,,,292,430,133,,320,,14,,4,,,0,07,146
File,"AddIndexEvent.java",AddIndexEvent.java,4,0,4,0,1,,,,,1,0,0,2,,,,2,2,1,,,,2,,,0,,0,0,2,,36,6,13,7,3,17,,,,7,10,7,,3,,1,,0,,,1,31,2
File,"AddPartitionDesc.java",AddPartitionDesc.java,5,0,4,1,1,,,,,2,0,1,41,,,,41,41,16,,,,41,,,2,,1,0,38,,305,48,188,79,77,69,,,,86,138,74,,66,,4,,2,,,0,37,48
File,"AddPartitionEvent.java",AddPartitionEvent.java,7,0,5,2,1,,,,,1,0,0,5,,,,5,5,3,,,,5,,,0,,0,0,5,,78,13,38,17,14,27,,,,23,30,17,,13,,3,,1,,,0,71,7
File,"AddPartitionMessage.java",AddPartitionMessage.java,6,0,6,0,2,,,,,1,0,0,2,,,,4,4,0,,,,4,,,0,,0,1,3,,54,7,18,9,6,29,,,,9,14,8,,6,,3,,1,,,1,61,4
File,"AddPartitionReplicationTask.java",AddPartitionReplicationTask.java,17,1,16,1,1,,,,,3,0,0,6,,,,6,6,1,,,,6,,,0,,0,0,6,,111,14,78,23,49,20,,,,30,39,25,,16,,2,,0,,,0,26,8
File,"AddPartitionsRequest.java",AddPartitionsRequest.java,11,1,10,1,3,,,,,6,3,12,61,,,,59,58,13,,,,61,,,1,,2,0,58,,849,108,711,163,437,45,,,,344,504,148,,385,,17,,4,,,0,06,172
File,"AddPartitionsResult.java",AddPartitionsResult.java,8,0,7,0,2,,,,,6,3,6,40,,,,38,37,4,,,,40,,,1,,2,0,37,,447,65,357,111,174,28,,,,159,246,104,,158,,6,,4,,,0,08,79
File,"AddResourceProcessor.java",AddResourceProcessor.java,14,1,13,0,2,,,,,2,0,2,3,,,,3,3,0,,,,3,,,0,,0,0,3,,82,10,50,24,25,22,,,,25,32,21,,16,,4,,1,,,0,44,6
File,"Address.java",Address.java,7,0,5,2,2,,,,,2,4,1,55,,,,55,51,14,,,,55,,,0,,3,0,52,,465,54,310,79,164,101,,,,168,242,74,,170,,9,,1,,,0,33,91
File,"Adjacency.java",Adjacency.java,10,0,9,1,3,,,,,6,3,7,51,,,,49,48,8,,,,51,,,1,,2,0,48,,664,84,541,136,305,48,,,,245,373,123,,274,,11,,4,,,0,09,131
File,"AdjacencyType.java",AdjacencyType.java,5,0,3,1,1,,,,,1,1,0,5,,,,3,4,3,,,,5,,,0,,1,0,4,,45,7,25,11,9,13,,,,11,15,9,,6,,3,,1,,,0,52,5
File,"AdminAuthorizedServlet.java",AdminAuthorizedServlet.java,10,0,8,2,2,,,,,1,0,1,1,,,,1,1,0,,,,1,,,0,,0,1,0,,45,6,17,11,4,22,,,,8,11,9,,2,,2,,1,,,1,29,2
File,"AggrStats.java",AggrStats.java,9,0,8,1,2,,,,,6,3,7,46,,,,44,43,7,,,,46,,,1,,2,0,43,,542,77,438,124,235,33,,,,207,307,114,,208,,8,,4,,,0,08,97
File,"AggrStatsInvalidatorFilter.java",AggrStatsInvalidatorFilter.java,14,0,12,2,3,,,,,1,1,1,5,,,,5,4,4,,,,5,,,1,,0,0,4,,121,8,79,31,38,34,,,,34,49,27,,24,,8,,5,,,0,43,13
File,"AggregateDefinition.java",AggregateDefinition.java,4,0,4,0,1,,,,,1,0,0,5,,,,5,5,4,,,,5,,,5,,0,0,0,,51,6,28,14,8,17,,,,15,21,13,,8,,1,,0,,,0,61,5
File,"AggregateIndexHandler.java",AggregateIndexHandler.java,36,3,32,0,5,,,,,1,0,0,3,,,,3,3,0,,,,3,,,0,,1,1,1,,158,18,118,56,71,22,,,,82,98,50,,71,,8,,4,,,0,19,15
File,"AggregateStatsCache.java",AggregateStatsCache.java,18,0,15,3,3,,,,,6,1,2,27,,,,27,26,30,,,,27,,,5,,5,0,17,,573,37,414,144,247,122,,,,219,296,133,,200,,12,,6,,,0,29,70
File,"AggregationDesc.java",AggregationDesc.java,5,0,5,0,1,,,,,1,0,1,17,,,,17,17,7,,,,17,,,0,,0,0,17,,158,25,110,40,48,23,,,,50,76,37,,40,,4,,2,,,0,21,24
File,"AllVectorTypesRecord.java",AllVectorTypesRecord.java,36,5,16,15,1,,,,,1,0,2,1,,,,1,1,12,,,,1,,,0,,0,0,1,,100,15,48,21,27,37,,,,28,30,18,,12,,1,,0,,,0,77,1
File,"Allocator.java",Allocator.java,3,0,3,0,1,,,,,2,0,1,1,,,,6,6,0,,,,6,,,5,,0,0,1,,53,5,15,11,2,33,,,,9,12,11,,1,,1,,0,,,2,20,1
File,"AlreadyExistsException.java",AlreadyExistsException.java,7,0,6,1,2,,,,,6,3,5,38,,,,36,35,4,,,,38,,,1,,2,0,35,,395,63,307,104,148,28,,,,136,210,91,,132,,5,,3,,,0,09,67
File,"AlterDatabaseDesc.java",AlterDatabaseDesc.java,3,0,3,0,1,,,,,2,0,1,13,,,,11,13,6,,,,13,,,0,,0,0,13,,98,18,55,28,16,25,,,,25,37,22,,15,,1,,0,,,0,45,11
File,"AlterHandler.java",AlterHandler.java,0,0,0,0,0,,,,,1,0,0,0,,,,4,4,0,,,,4,,,0,,0,0,4,,130,7,25,24,0,98,,,,13,14,14,,0,,0,,0,,,3,92,0
File,"AlterIndexDesc.java",AlterIndexDesc.java,5,0,3,3,1,,,,,2,0,1,14,,,,12,14,7,,,,14,,,0,,0,0,14,,132,18,54,30,12,61,,,,22,35,24,,11,,1,,0,,,1,13,12
File,"AlterIndexEvent.java",AlterIndexEvent.java
